qid,label,description
Q99712124,"Evaluation of Pt,Pd-Doped, NiO-Decorated, Single-Wall Carbon Nanotube-Ionic Liquid Carbon Paste Chemically Modified Electrode: An Ultrasensitive Anticancer Drug Sensor for the Determination of Daunorubicin in the Presence of Tamoxifen",
Q43439692,Evidence for the binding affinity of daunomycin to HMGB1 protein in chromatin and in solution.,
Q46605026,"Methylxanthines (caffeine, pentoxifylline and theophylline) decrease the mutagenic effect of daunomycin, doxorubicin and mitoxantrone.",
Q67270537,[Cytophotometric measurements of desoxyribonucleic acids and total protein content in Ehrlich tumour cells treated by daunomycin or amphotericin B (author's transl)],
Q67919005,Daunorubicin in patients with relapsed and refractory acute nonlymphoblastic leukemia previously treated with anthracycline,
Q33477640,Efficacy of daunorubicin in the therapy of adult acute lymphocytic leukemia: a prospective randomized trial by cancer and leukemia group B.,
Q74367234,"Comparison of the interaction of doxorubicin, daunorubicin, idarubicin and idarubicinol with large unilamellar vesicles. Circular dichroism study",
Q71819456,"Daunorubicinol, a major metabolite of daunorubicin: isolation from human urine and enzymatic reactions",
Q45933926,Selective in vivo localization of daunorubicin small unilamellar vesicles in solid tumors.,
Q72925691,Different biding sites in DNA for actinomycin and daunomycin,
Q70673470,Effects of cytosine arabinoside and daunorubicin on survival and cell cycle progression of Chinese hamster ovary cells,
Q41962901,"Comparison of the liver subcellular distribution of free daunomycin and that bound to galactosamine targeted N-(2-hydroxypropyl)methacrylamide copolymers, following intravenous administration in the rat.",
Q33464893,Daunorubicin and adriamycin in the treatment of leukemia,
Q46685085,Remission induction in children with acute non-lymphocytic leukemia using cytosine arabinoside and doxorubicin or daunorubicin: a report from the Childrens Cancer Study Group.,
Q69843208,Early onset of daunomycin cardiotoxicity in a case of acute myelogeneous leukemia associated with Sweet's syndrome,
Q38403675,Novel formulation of cytarabine and daunorubicin: A new hope in AML treatment.,
Q70442887,Reduction by ICRF-187 of acute daunorubicin toxicity in Syrian golden hamsters,
Q41686218,"New daunorubicin analogs. 3-Amino-2,3,6-trideoxy-alpha- and beta-D-arabino- and 3,6-diamino-2,3,6-trideoxy- alpha-D-ribo-hexopyranosides of daunomycinone.",
Q33347439,Efficacy and toxicity of liposomal daunorubicin included in PVABEC regimen for aggressive NHL of the elderly,
Q41734764,Daunorubicin coupled to monoclonal antibodies via a cis-aconitic anhydride linker: biochemical and cytotoxic properties revisited.,
Q66985549,"Mechanism of action of the anthracycline anti-tumor antibiotics, doxorubicin, daunomycin and rubidazone: preferential inhibition of DNA polymerase alpha",
Q67442383,Uncoupling of work and adenosine triphosphate utilization in Daunorubicin cardiotoxicity,
Q33540751,A critical evaluation of the mechanisms of action proposed for the antitumor effects of the anthracycline antibiotics adriamycin and daunorubicin,
Q71269000,Hyperpigmentation with daunorubicin therapy,
Q44616168,Potentiation of the antitumour effect of rubidomycin and rubomycin by non-ionic detergents.,
Q40279229,Diminished superoxide anion generation by reduced 5-iminodaunorubicin relative to daunorubicin and the relationship to cardiotoxicity of the anthracycline antitumor agents.,
Q44854747,"Treatment of acute myeloid leukemia of childhood with cytosine arabinoside, daunorubicin, prednisolone, and mercaptopurine or thioguanine.",
Q53707402,"Cytotoxic, antiviral, and antitumor activity of some derivatives of daunomycin (NSC-82151).",
Q39389155,Synthesis and characterization of G5 PAMAM dendrimer containing daunorubicin for targeting cancer cells.,
Q44258468,[Prevention of secondary cataract by intracapsular administration of the antimitotic daunomycin],
Q70065576,"Physicochemical properties of complexes between deoxyribonucleic acid and antibiotics which affect ribonucleic acid synthesis (actinomycin, daunomycin, cinerubin, nogalamycin, chormomycin, mithramycin, and olivomycin)",
Q90856131,Phase I Clinical Trial of Selinexor in Combination with Daunorubicin and Cytarabine in Previously Untreated Poor-Risk Acute Myeloid Leukemia,
Q70386134,Comparative pharmacokinetics of daunomycin and adriamycin in several animal species,
Q72084739,"Doxorubicin and daunorubicin modulation of macrophages, T and B lymphocytes (anthracycline lymphocyte modulation)",
Q84075373,Carbonyl reductase 1 expression influences daunorubicin metabolism in acute myeloid leukemia,
Q85897223,Comparison of 60 or 90 mg/m(2) of daunorubicin in induction therapy for acute myeloid leukemia with intermediate or unfavorable cytogenetics,
Q70296512,Immunoconjugate design: a predictive approach for coupling of daunomycin to monoclonal antibodies,
Q34130602,"Adenosine triphosphate-dependent transport of doxorubicin, daunomycin, and vinblastine in human tissues by a mechanism distinct from the P-glycoprotein",
Q41844528,Differential cytotoxicity of daunomycin in tumour cells is related to glutathione-dependent hydrogen peroxide metabolism.,
Q68388838,Sequence specificity in the interaction of daunomycin with alternating polydeoxynucleotides,
Q54349595,Effects of verapamil on the cellular accumulation of daunorubicin in blast cells and on the chemosensitivity of leukaemic blast progenitors in acute myelogenous leukaemia.,
Q41608593,Helix-coil transition of the dG-dC-dG-dC self-complementary duplex and complex formation with daunomycin in solution.,
Q34701005,Studies of leukemia therapy with daunomycin,
Q41557016,"Enhanced response to daunomycin of normal, tumor and metastatic cell lines via drug photoactivation.",
Q73244367,Liposome encapsulated daunorubicin doubles anthracycline toxicity in cell lines showing a non-PGP related multidrug resistance,
Q71996960,[Treatment of acute myeloblastic leukemia by the combination of daunorubicin (or rubidazone) and cytosine arabinoside (apropos of 76 cases)],
Q45025757,"Combination of liposomal daunorubicin (DaunoXome), fludarabine, and cytarabine (FLAD) in patients with poor-risk acute leukemia.",
Q36080042,Daunorubicin pharmacokinetics and the correlation with P-glycoprotein and response in patients with acute leukaemia.,
Q73124868,Daunomycin disrupts nuclear assembly and the coordinate initiation of DNA replication in Xenopus egg extracts,
Q30609824,"The ability of new formamidine sugar-modified derivatives of daunorubicin to stimulate free radical formation in three enzymatic systems: NADH dehydrogenase, NADPH cytochrome P450 reductase and xanthine oxidase",
Q36046199,"Renal and haemopoietic proliferative defects as a delayed consequence of cis-platin, adriamycin and daunomycin treatments.",
Q66844321,"[Treatment of 17 cases of non-lymphoblastic acute leukemia with a combination of daunorubicin, cytosine and arabinoside]",
Q71138941,"A differential scanning calorimetry study of the interaction of gangliosides with peanut lectin, serotonin and daunomycin",
Q70502821,On the reported lack of effectiveness of daunomycin (NSC-82151) and adriamycin (NSC-123127) on solid tumors,
Q91042700,The influence of charge and lipophilicity of daunorubicin and idarubicin on their penetration of model biological membranes - Langmuir monolayer and electrochemical studies,
Q35608040,The Streptomyces peucetius drrC gene encodes a UvrA-like protein involved in daunorubicin resistance and production,
Q93510352,One-electron reduction of daunorubicin intercalated in DNA or in a protein: a gamma radiolysis study,
Q67593987,Thermodynamics of the interaction of daunomycin with DNA,
Q46763539,Altered pharmacokinetics of daunorubicin in rats with CCl4-induced hepatic injury.,
Q41172348,Carbon-11-labeled daunorubicin and verapamil for probing P-glycoprotein in tumors with PET.,
Q39835826,Regulation of daunorubicin production in Streptomyces peucetius by the dnrR2 locus.,
Q73411052,Carbonyl reduction of daunorubicin in rabbit liver and heart,
Q44286072,Comparative study of chronic toxic effects of daunorubicin and doxorubicin in rabbits.,
Q64998074,Inhibition of tumor metastasis by targeted daunorubicin and dioscin codelivery liposomes modified with PFV for the treatment of non-small-cell lung cancer.,
Q92655564,[Relationship of PTEN/PI3K/AKT Signaling Pathway Protein Expression with Apoptosis and Drug-resistance of Children's ALL Primary Cells Treated with Daunorubicin],
Q69839497,[Treatment of acute lymphoblastic leukemia by rubidomycin],
Q98401448,Synthesis and Antitumor Activities of Spin Labeled Derivatives of Daunorubicin and Doxorubicin,
Q68783059,"Effect of daunorubicin, carminomycin, idarubicin and 4-demethoxydaunorubicinol against human normal myeloid stem cells and human malignant cells in vitro",
Q66957665,Uptake of free and DNA-bound daunorubicin and doxorubicin into human leukemic cells,
Q68554728,"Effects of mithramycin, mitomycin, daunorubicin, and bleomycin on human subconjunctival fibroblast attachment and proliferation",
Q64093816,"Time dependent response of daunorubicin on cytotoxicity, cell cycle and DNA repair in acute lymphoblastic leukaemia",
Q41673626,"Pharmacokinetic, toxicologic, and chemotherapeutic properties of detorubicin in mice: a comparative study with daunorubicin and adriamycin.",
Q59622019,Randomized cross-over comparison of liposomal daunorubicin versus observation for early Kaposi's sarcoma,
Q51484370,Effect of doxorubicin and daunorubicin on the activity of acetylcholinesterase in acute lymphoblastic leukamia.,
Q72137549,Daunomycin as an inhibitor of human lens epithelial cell proliferation in culture,
Q46975077,Improved outcome in pediatric relapsed acute myeloid leukemia: results of a randomized trial on liposomal daunorubicin by the International BFM Study Group.,
Q72130738,Daunorubicin (Cerubidine),
Q83118248,Dendrimer modified graphite sensors for detection of anticancer drug Daunorubicin by voltammetry and electrochemical impedance spectroscopy,
Q67342341,Liquid chromatographic determination of daunorubicin and daunorubicinol in plasma from leukemic patients,
Q30886167,[Study on pharmaceutical characterization and pharmacokinetics of daunorubicin long-circulating liposomes in rat].,
Q70157039,Phase III trial of brief intensive treatment of adult acute lymphocytic leukemia comparing daunorubicin and mitoxantrone: a CALGB Study,
Q70437347,Photosensitized degradation of DNA by daunomycin,
Q42871448,Telmisartan prevents the progression of renal injury in daunorubicin rats with the alteration of angiotensin II and endothelin-1 receptor expression associated with its PPAR-γ agonist actions.,
Q41970331,Proceedings: Daunomycin and adriamycin antitumor cell antibody conjugates.,
Q69911470,Facilitation of allogeneic bone marrow transplantation by a T cell-specific immunotoxin containing daunomycin,
Q91005451,"Final results of a randomized multicenter phase II study of alvocidib, cytarabine, and mitoxantrone versus cytarabine and daunorubicin (7 + 3) in newly diagnosed high-risk acute myeloid leukemia (AML)",
Q50249606,Evidence for the genotoxic effect of daunomycin in multipotent hematopoietic cells of mouse bone marrow: chromatin proteins analysis.,
Q71471548,Adriamycin and daunomycin dose-dependent effects upon contractions of isolated rat myocytes,
Q67680025,Release of macromolecules and daunomycin from hydrophilic gels containing enzymatically degradable bonds,
Q44405754,[Daunomycin alone and in association with other drugs in the therapy of acute myelomonoblastic leukemia in the adult],
Q47875896,Daunorubicin Down-Regulates the Expression of Stem Cell Markers and Factors Involved in Stem Cell Migration and Homing in Rat Heart in Subchronic but not Acute Cardiomyopathy.,
Q69944069,Comparison of the protective effect of ICRF-187 and structurally related analogues against acute daunorubicin toxicity in Syrian golden hamsters,
Q38355155,"Alteration of chromatin structure induced by the binding of adriamycin, daunorubicin and ethidium bromide.",
Q69683036,"[Comparative evaluation of the cytogenetic action of anthracycline-group antitumor antibiotics (daunomycin, doxorubicin and carminomycin)]",
Q71022211,[Rubidomycin in the treatment of acute leukemia (32 cases)],
Q67388142,Nail pigmentation with daunorubicin therapy,
Q43930518,Chemical interactions of cardiolipin with daunorubicin and other intercalating agents.,
Q51869444,Study of the interaction of aglycon of daunorubicin with human serum albumin by spectroscopy and modeling.,
Q69549202,Allosteric conversion of Z DNA to an intercalated right-handed conformation by daunomycin,
Q77919429,Specific inhibition of DNA-polymerases from RNA tumor viruses by some new daunomycin derivatives,
Q38350545,A theoretical study of the comparative binding affinities of daunomycin derivatives to a double-stranded oligomeric DNA. Proposal for new high affinity derivatives.,
Q76516455,"[EXPERIMENTAL STUDIES OF THE ANTINEOPLASTIC ACTIVITY OF A NEW ANTIBIOTIC, DAUNOMYCIN]",
Q45214711,The use of bioerodible polymers and daunorubicin in glaucoma filtration surgery.,
Q43922753,Sequential studies of daunorubicin and adriamycin in acute nonlymphocytic leukemia.,
Q34072012,High performance liquid chromatography determination of doxorubicin and daunorubicin in plasma using UV detection and column switching,
Q72188139,Effect of daunomycin on cardiovascular responses to isoproterenol and norepinephrine,
Q40335721,Risk factors for development of daunorubicin cardiotoxicity.,
Q41009977,Binding of Released Bim to Mcl-1 is a Mechanism of Intrinsic Resistance to ABT-199 which can be Overcome by Combination with Daunorubicin or Cytarabine in AML Cells.,
Q34205189,Nanomicelle formulation modifies the pharmacokinetic profiles and cardiac toxicity of daunorubicin,
Q69967567,[Daunomycin as immunosuppressive agent in corneal hetero-grafts],
Q46702316,Conventional and high-dose daunorubicin and idarubicin in acute myeloid leukaemia remission induction treatment: a mixed treatment comparison meta-analysis of 7258 patients.,
Q72694570,Enzyme induction by daunorubicin in neonatal heart cells in culture,
Q34486710,"The covalent binding of daunomycin and adriamycin to antibodies, with retention of both drug and antibody activities",
Q34168806,Effect of nitric oxide on the daunorubicin efflux mechanism in K562 cells.,
Q57349747,Self-assembly of thermoresponsive nanocomposites and their applications for sensing daunorubicin with DNA,
Q91210520,Mitochondrial dysfunction and oxidative stress in bone marrow stromal cells induced by daunorubicin leads to DNA damage in hematopoietic cells,
Q43257105,Liposomal daunorubicin (Daunoxome) and polyethylated glycol conjugated asparaginase (PEG-ASPA) in children with relapsed and refractory acute lymphoblastic leukemia treated on compassionate basis.,
Q67480096,Polarographic determination of doxorubicin and daunorubicin in pharmaceutical preparations and biological media,
Q61872256,A novel energy dependent mechanism reducing daunorubicin accumulation in acute myeloid leukemia,
Q73326430,Transverse leukonychia (Mees' lines) due to daunorubicin chemotherapy,
Q70981488,[On the use of daunomycin in the therapy of acute leukemias],
Q67783339,Binding of daunomycin to nonhistone proteins from rat liver,
Q41121109,Relationship between expression level of P-glycoprotein and daunorubicin transport in LLC-PK1 cells transfected with human MDR1 gene.,
Q41508401,A plasma membrane 'vacuum cleaner' for daunorubicin in non-P-glycoprotein multidrug-resistant SW-1573 human non-small cell lung carcinoma cells. A study using fluorescence resonance energy transfer.,
Q28208396,Involvement of glutathione and glutathione-related enzymes in the protection of normal and trisomic human fibroblasts against daunorubicin,
Q44580494,Increased excretion of urine coproporphyrins during daunorubicin administration in patients affected by acute myelogenous leukemia.,
Q72368983,Daunorubicin and daunorubicinol pharmacokinetics in plasma and tissues in the rat,
Q46519098,Structural and Functional Studies of the Daunorubicin Priming Ketosynthase DpsC.,
Q72545276,[A late phase II comparative study of idarubicin + cytarabine and daunorubicin + cytarabine in adult patients with acute non-lymphocytic leukemia. Idarubicin Study Group],
Q36548522,Pharmacology of liposomal daunorubicin and its use in Kaposi's sarcoma.,
Q46717180,Aldo-keto reductase 1C2 fails to metabolize doxorubicin and daunorubicin in vitro.,
Q93779367,"[Comparative effects of 2 inhibitiors of ribonucleic acid synthesis, actinomycin D and rubidomycin on Sindbis virus ribonucleic acid biosynthesis]",
Q43705016,Pulse radiolysis study of daunorubicin redox reactions: redox cycles or glycosidic cleavage?,
Q34750315,Two allelic variants of aldo-keto reductase 1A1 exhibit reduced in vitro metabolism of daunorubicin,
Q71440665,Extraction and quantification of daunomycin and doxorubicin in tissues,
Q77871458,"An improved HPLC method for therapeutic drug monitoring of daunorubicin, idarubicin, doxorubicin, epirubicin, and their 13-dihydro metabolites in human plasma",
Q45785797,A single-center experience of the nationwide daunorubicin shortage: substitution with doxorubicin in adult acute lymphoblastic leukemia.,
Q41170025,Comparison of daunorubicin and anthrapyrazolone sensitivity and transport in resistant cell lines.,
Q38538324,"Comparative study of cytosine arabinoside therapy alone and combined with thioguanine, mercaptopurine, or daunorubicin in acute myelocytic leukemia.",
Q50236338,[Effects of daunorubicin on KG1a cell proliferation and Eps8 expression].,
Q39233227,A phase III trial comparing idarubicin and daunorubicin in combination with cytarabine in acute myelogenous leukemia: a Southeastern Cancer Study Group Study.,
Q67331063,Rapid Determination of Daunomycin Hydrochloride in Plasma and Urine Using Three-dimensional Fluorescence Coupled with Second-Order Calibration,
Q44597304,Effect of a conjugate of daunomycin and purified polyclonal or monoclonal antibodies to rat alpha-fetoprotein on the growth of alpha-fetoprotein-producing tumor cells.,
Q36587701,"Mechanisms of chromosome banding. IX. Are variations in DNA base composition adequate to account for quinacrine, Hoechst 33258 and daunomycin banding?",
Q46264614,Generalized hyperpigmentation with daunorubicin chemotherapy.,
Q70376273,Adriamycin analogues. Novel anomeric ribofuranoside analogues of daunorubicin,
Q54035355,Microbial conversion of daunorubicin into N-acetyl-13(S)-dihydrodaunomycin and bisanhydro-13-dihydrodaunomycinone.,
Q53292543,The addition of daunorubicin to imatinib mesylate in combination with cytarabine improves the response rate and the survival of patients with myeloid blast crisis chronic myelogenous leukemia (AFR01 study).,
Q36721102,Ultrastructural localization of daunomycin in multidrug-resistant cultured cells with modulation of the multidrug transporter.,
Q45078254,Evidence for inhibition of growth related to compromised DNA synthesis in the interaction of daunorubicin with H-35 rat hepatoma.,
Q70556368,"Kinetic evaluation of the effect of actinomycin D, daunomycin, and mitomycin C on proliferating cultured leukemia L 1210 cells",
Q79451363,Intensifying daunorubicin in induction for patients with core binding factor leukemia,
Q53777223,Comparative pharmacokinetic study of idarubicin and daunorubicin in leukemia patients.,
Q68347499,Radioimmunoassays for adriamycin and daunomycin,
Q51186932,Polyelectrolyte Oil-Core Nanocarriers for Localized and Sustained Delivery of Daunorubicin to Colon Carcinoma MC38 Cells: The Case of Polysaccharide Multilayer Film in Relation to PEG-ylated Shell.,
Q69029898,"A comparative trial of remission induction (by cytosine arabinoside, or C.A.R. and thioguanine, or C.A.R. and daunorubicine) and maintenance therapy (by C.A.R. or methylgag) in acute myeloid leukaemia",
Q54275552,Different distribution of daunomycin in plasma membranes from drug-sensitive and drug-resistant P388 leukemia cells.,
Q73552333,"Serine protease inhibitors block neutral sphingomyelinase activation, ceramide generation, and apoptosis triggered by daunorubicin",
Q78181463,Complete resolution of angiosarcoma of the scalp with liposomal daunorubicin and radiotherapy,
Q58279645,Electrochemical Behavior and Detection of Daunomycin at Multi-walled Carbon Nanotubes Modified Electrode,
Q41010819,"Effects of daunorubicin on cell growth, cell cycle and induction of apoptosis in HL-60 cells.",
Q54082721,Liposome-encapsulated daunorubicin for PGP-related multidrug resistance.,
Q49279418,Differences in the pharmacokinetics of daunomycin in normal and leukemic rats.,
Q77498608,Daunorubicin cardiotoxicity in childhood cancer,
Q41069934,Another hypothesis concerning the antitumor activity and cardiotoxicity of daunorubicin (NSC-82151) and adriamycin (NSC-123127).,
Q36658641,Measurements of daunorubicin uptake of Yoshida sarcoma cells in culture using flow cytofluorimetry.,
Q70679759,[Ribonucleic acids synthesized by the Newcastle disease virus in chick embryo cells in presence of actinomycin D or rubidomycin],
Q42760004,Population pharmacokinetics of liposomal daunorubicin in children.,
Q69465994,"In vitro stability and compatibility of daunorubicin, cytarabine, and etoposide",
Q50090381,Cytarabine and daunorubicin for the treatment of acute myeloid leukemia.,
Q51726378,Internal standard method for the measurement of doxorubicin and daunorubicin by capillary electrophoresis with in-column double optical-fiber LED-induced fluorescence detection.,
Q48952567,The acute pharmacological actions of daunomycin in the dog and monkey.,
Q70978387,"Quantitation of daunorubicin, doxorubicin, and their aglycones by ion-pair reversed-phase chromatography",
Q70988438,[Treatment of acute granulocytic leukemias with daunomycin],
Q69419828,Effects of verapamil on the pharmacokinetics of daunomycin in the rat,
Q43903441,Daunomycin inhibition of DNA and RNA synthesis.,
Q67714840,Synthesis of [14-14C] daunorubicin and doxorubicin,
Q70592858,"Nuclear binding as a determinant of tissue distribution of adriamycin, daunomycin, adriamycinol, daunorubicinol and actinomycin D",
Q66861062,[Treatment of acute myeloid leukemia with daunomycin (38 cases)],
Q68188209,Antitumor activity of new N-substituted daunorubicin derivatives,
Q54153392,[Predictive value of intracellular accumulation of daunorubicin and P-glycoprotein expression simultaneously determined by flow cytometry in adult acute myeloid leukemias].,
Q83820671,GnRH-III based multifunctional drug delivery systems containing daunorubicin and methotrexate,
Q42246069,"The electrochemical reduction of 1,4-bis-(2-[(2-hydroxyethyl)-amino] ethylamino)-anthracenedione and daunomycin: biochemical significance in superoxide formation.",
Q59063081,Interactions of daunomycin and melanotropin–daunomycin with DNA,
Q70468849,Daunorubicin therapy in adult acute lymphatic leukemia,
Q95520987,The comparative study of influence of lactic and glycolic acids copolymers type on properties of daunorubicin loaded nanoparticles and drug release,
Q54233564,"Enhancement of daunorubicin accumulation, retention, and cytotoxicity by verapamil or cyclosporin A in blast cells from patients with previously untreated acute myeloid leukemia.",
Q39116969,What Is the Best Daunorubicin Dose and Schedule for Acute Myeloid Leukemia Induction?,
Q44607392,Effects of daunomycin and adriamycin on the murine sarcoma virus (Moloney) in vitro.,
Q33999233,Targeting RNA by small molecules: comparative structural and thermodynamic aspects of aristololactam-β-D-glucoside and daunomycin binding to tRNA(phe),
Q41737559,All-trans retinoic acid with daunorubicin or idarubicin for risk-adapted treatment of acute promyelocytic leukaemia: a matched-pair analysis of the PETHEMA LPA-2005 and IC-APL studies.,
Q46377399,Electrophilic analogues of daunorubicin and doxorubicin.,
Q40547423,"Vincristine (NSC-67574), cytosine arabinoside (NSC-63878), 6 thioguanine (NSC-752) and daunorubicin (NSC-82151) (VAT-D): a pilot study of combination chemotherapy for remission induction in acute myeloid leukemia in adults.",
Q80170943,"Affinity of anticancer drug, daunomycin, to core histones in solution: comparison of free and cross-linked proteins",
Q70946989,[A new antibiotic with antineoplastic activity: rubidomycin (13.057 R.P.)],
Q70513893,Anti-tumor activity of daunorubicin linked to poly-L-aspartic acid,
Q46801138,Determination of the maximum tolerated dose of idarubicin when used in a combination chemotherapy program of reinduction of childhood ALL at first marrow relapse and a preliminary assessment of toxicity compared to that of daunorubicin: a report fro,
Q27717283,DNA-drug interactions. The crystal structure of d(CGATCG) complexed with daunomycin,
Q69210909,"[""Chimeric"" antibiotics, daunorubicin and its analogs N-acylated with bruneomycin (Streptonigrin)]",
Q38306799,"Effects of anthracycline antibiotic, daunomycin on thymus chromatin: the role of chromosomal proteins.",
Q44035829,Daunorubicin inhibition of DNA-dependent RNA polymerases from Ehrlich ascites tumor cells.,
Q73719640,P-Glycoprotein inhibitor valspodar (PSC 833) increases the intracellular concentrations of daunorubicin in vivo in patients with P-glycoprotein-positive acute myeloid leukemia,
Q39196454,Microbial metabolism of anthracycline antibiotics daunomycin and adriamycin.,
Q68529412,Absorptive stripping voltammetric determination of low levels of daunorubicin,
Q59337459,Model for calculating chromatographic mobility of anthracycline antibiotics of the series of daunorubicin and its polysynthetic analogs,
Q95609078,[Therapeutic study of leukemia by pegylated liposomal daunorubicin],
Q43679600,GLC--mass spectrometry of several important anticancer drugs II: doxorubicin and daunorubicin aglycone analogs.,
Q50575980,Prospective Randomized Comparison of Idarubicin and High-Dose Daunorubicin in Induction Chemotherapy for Newly Diagnosed Acute Myeloid Leukemia.,
Q51048055,Administration schedule of daunorubicin for elderly patients with acute myelogenous leukemia: a single-institute experience.,
Q42216324,[Early daunorubicin cardiotoxicity and fatal outcome in a child with acute myeloblastic leukemia (M2)],
Q51869291,Daunorubicin reduction mediated by aldehyde and ketone reductases.,
Q30967615,Efficacy of daunorubicin encapsulated in liposome for the treatment of proliferative vitreoretinopathy,
Q72053002,The structure of daunomycin,
Q44378383,Isomer-dependent daunomycin release and in vitro antitumour effect of cis-aconityl-daunomycin.,
Q66904103,[Preparation and experimental antitumor activity of a new semi-synthetic antibiotic: 14-diethoxyacetoxy daunorubicin (R.P. 33 921)],
Q52595690,Influence of daunorubicin and cytarabine sequencing on the outcome of therapy in acute myelogenous leukemia: a randomized trial.,
Q43089665,Effect of naringin on the DNA damage induced by daunorubicin in mouse hepatocytes and cardiocytes.,
Q71271662,The effect of daunomycin on phage induction,
Q73334996,Daunorubicin activates NFkappaB and induces kappaB-dependent gene expression in HL-60 promyelocytic and Jurkat T lymphoma cells,
Q72104698,Daunorubicin (DNR) accumulation in fresh leukemic cells: correlation with clinical and biological features,
Q51732432,"Chemo-sensitivity of Two-dimensional Monolayer and Three-dimensional Spheroid of Breast Cancer MCF-7 Cells to Daunorubicin, Docetaxel, and Arsenic Disulfide.",
Q69973852,Activity of N-(2-hydroxypropyl)methacrylamide copolymers containing daunomycin against a rat tumour model,
Q71853063,Ultrastructural studies of daunorubicin hepatotoxicity in rats including protective effects of tocopherol and ascorbic acid,
Q50913503,Phase 1 trial of gemtuzumab ozogamicin in combination with enocitabine and daunorubicin for elderly patients with relapsed or refractory acute myeloid leukemia: Japan Adult Leukemia Study Group (JALSG)-GML208 study.,
Q72063970,Uptake and metabolism of daunorubicin by human leukemia cells,
Q47929842,"The modulating effect of PSC 833, cyclosporin A, verapamil and genistein on in vitro cytotoxicity and intracellular content of daunorubicin in childhood acute lymphoblastic leukemia.",
Q71362574,[Daunomycin and antitumor immunologic defense: its influence on the growth of Ehrlich ascites cancer],
Q40477993,The antitumor anthracyclines doxorubicin and daunorubicin do not inhibit cell growth through the formation of iron-mediated reactive oxygen species.,
Q74137782,Binding of daunomycin to diaminopurine- and/or inosine-substituted DNA,
Q43729443,Daunorubicin impairs 1-beta-D-arabinofuranosylcytosine uptake.,
Q43824593,High-dose daunorubicin as liposomal compound (Daunoxome) in elderly patients with acute lymphoblastic leukemia.,
Q33828073,Combination of bortezomib and daunorubicin in the induction of apoptosis in T-cell acute lymphoblastic leukemia,
Q70937598,Cellular pharmacology of amino acid derivatives of daunorubicin and doxorubicin in suspension of renal proximal tubules,
Q54193644,Curcumin alleviates renal dysfunction and suppresses inflammation by shifting from M1 to M2 macrophage polarization in daunorubicin induced nephrotoxicity in rats.,
Q68568613,[Trial treatment of acute leukemia and Hodgkin's disease with rubidomycin (or daunomycin) alone or in combination],
Q33424632,The effect of daunomycin on platelets in vitro,
Q69029056,[The effects of cytosine arabinoside and daunomycin on cell kinetics in childhood acute myeloblastic leukemia],
Q44047925,Effects of the stereochemical configuration on the interaction of some daunomycin derivatives with DNA.,
Q68013293,Effect of daunorubicin on subcellular pools of glutathione in cultured heart cells from neonatal rats,
Q67540791,Plasma adriamycin and daunorubicin levels by fluorescence and radioimmunoassay,
Q110698848,"CPX-351, a Dual-Drug Liposomal Formulation, Alleviates the Cardiotoxicity of Daunorubicin and Cytarabine to Induced Human Pluripotent Stem Cell-Derived Cardiomyocytes",
Q54546792,"Mapping the DNA-binding domain and target sequences of the Streptomyces peucetius daunorubicin biosynthesis regulatory protein, DnrI.",
Q73246902,Sarcoplasmic reticulum calcium release is stimulated and inhibited by daunorubicin and daunorubicinol,
Q70103169,Daunorubicin in the treatment of acute myelocytic leukaemia,
Q71784411,"Double-blind, placebo-controlled trial of daunorubicin and cytarabine with or without recombinant human granulocyte colony-stimulating factor in elderly patients with acute myeloid leukemia: economic evaluation with attention to inpatient and outpat",
Q44655107,Daunorubicin metabolites in human urine.,
Q28372640,Liposomal daunorubicin (DaunoXome) in children with recurrent or progressive brain tumors,
Q44179770,Daunorubicin metabolism in acute nonlymphocytic leukemia.,
Q58696585,Molecular Recognition of Parallel G-quadruplex [d-(TTGGGGT)]₄ Containing Telomeric DNA Sequence by Anticancer Drug Daunomycin: NMR-Based Structure and Thermal Stability,
Q73311950,Toxicity of daunorubicin and naphthoquinones to HL-60 cells: an involvement of oxidative stress,
Q66992144,"Cardiomyopathy in leukemia, with reference to rubidomycin cardiotoxicity",
Q39759784,Combined effects of bortezomib and daunorubicin on multiple myeloma cell KM3 in vitro.,
Q36727867,Benefit of high-dose daunorubicin in AML induction extends across cytogenetic and molecular groups.,
Q73934230,Long-term follow-up of three randomized trials comparing idarubicin and daunorubicin as induction therapies for patients with untreated acute myeloid leukemia,
Q53875772,Daunorubicin efflux assay in determining multidrug resistance of patients with acute myeloid leukemia.,
Q44235540,Analysis of rat bone marrow by flow cytometry following in vivo exposure to cyclohexanone oxime or daunomycin HCl.,
Q40681773,Verapamil restoration of daunorubicin responsiveness in daunorubicin-resistant Ehrlich ascites carcinoma,
Q81939060,Application of a method incorporating treatment with daunomycin for the selective isolation of slower-growing fungi,
Q58847640,Trypanocidal activity of daunorubicin and related compounds,
Q36736194,"Heat sensitization of bacterial spores after exposure to ethidium bromide, acriflavine, or daunomycin",
Q36435911,In vivo uptake of daunorubicin by acute myeloid leukemia (AML) cells measured by flow cytometry.,
Q43994606,NMR determination of the hetero-association of phenanthridines with daunomycin and their competitive binding to a DNA oligomer.,
Q54142980,"[Quadruple combination chemotherapy of acute leukemia using daunomycin, cytosine arabinoside, 6-mercaptopurine riboside and prednisolone]",
Q71391536,[Immunosuppression due to daunomycin],
